number_sta,n_registros,fecha_min,fecha_max,lat,lon,height_sta,n_anios,cobertura,pct_nan_dd,pct_nan_ff,pct_nan_precip,pct_nan_hu,pct_nan_td,pct_nan_t,pct_nan_psl
56017003,262859,2016-01-01 00:00:00,2018-12-31 23:54:00,47.88,-2.73,112.0,3,0.9993118917274939,0.0005592351793166639,0.0005592351793166639,0.006969515976245844,2.282592568636499e-05,2.6630246634073984e-05,1.1412962843238006e-05,1.0
49191001,262771,2016-01-01 00:00:00,2018-12-31 23:54:00,47.25,-0.44,73.0,3,0.9989773418491484,0.0029569473039262606,0.0029569473039262606,4.9472734814703934e-05,1.1416784957196668e-05,1.902797492869812e-05,1.1416784957196668e-05,1.0
85216001,262712,2016-01-01 00:00:00,2018-12-31 23:54:00,46.44,-1.12,3.0,3,0.9987530413625304,0.05852035689271906,0.05852035689271906,1.5225798593143658e-05,1.0,1.0,1.1419348944885499e-05,1.0
28380003,262455,2016-01-01 00:00:00,2018-12-31 23:54:00,48.41,1.56,147.0,3,0.997776003649635,1.0,1.0,0.0002819530967212991,1.0,1.0,1.1430530948208784e-05,1.0
49331003,259042,2016-01-01 00:00:00,2018-12-31 23:54:00,47.679,-0.873,25.0,3,0.9848007907542579,1.0,1.0,6.948680136809049e-05,1.0,1.0,1.1581133561366919e-05,1.0
22005003,213257,2016-07-26 06:06:00,2018-12-31 23:54:00,48.551,-3.388,158.0,3,0.8107398114355231,0.00045016107325901444,0.00045016107325901444,3.282424492512259e-05,9.37835569292389e-06,1.4067533539385835e-05,1.4067533539385835e-05,1.0
36173002,262857,2016-01-01 00:00:00,2018-12-31 23:54:00,46.7,1.25,110.0,3,0.9993042883211679,9.130439744808871e-05,9.130439744808871e-05,0.0,0.005436415998052224,0.005542937795074865,1.5217399574662949e-05,0.0009891309723537578
86165005,262845,2016-01-01 00:00:00,2018-12-31 23:54:00,46.412,0.841,153.0,3,0.9992586678832117,0.002442504137419421,0.002442504137419421,7.22859479921345e-05,2.2827141471171153e-05,2.2827141471171153e-05,1.521809431415111e-05,1.0
36127002,262819,2016-01-01 00:00:00,2018-12-31 23:54:00,46.61,1.97,204.0,3,0.9991598236009732,0.004025584147264838,0.004025584147264838,8.370779890343183e-05,1.9024499750774915e-05,1.9024499750774915e-05,1.521959980066434e-05,1.0
85163001,262809,2016-01-01 00:00:00,2018-12-31 23:54:00,47.0,-2.26,3.0,3,0.999121806569343,0.0002473279073395007,0.0002473279073395007,0.00011034629712070032,1.5220178913200044e-05,1.9025223641500055e-05,1.5220178913200044e-05,1.0
85152001,262790,2016-01-01 00:00:00,2018-12-31 23:54:00,46.62,-1.63,55.0,3,0.9990495742092458,0.0035161155295102553,0.00012938087446245916,0.002682750485178298,1.0,1.0,1.5221279348498484e-05,1.0
44117002,262672,2016-01-01 00:00:00,2018-12-31 23:54:00,47.14,-1.34,35.0,3,0.9986009732360097,1.0,1.0,3.8070292989189625e-06,1.0,1.0,1.5228117195564828e-05,1.0
53185001,262574,2016-01-01 00:00:00,2018-12-31 23:54:00,48.452,-0.183,277.0,3,0.998228406326034,1.0,1.0,4.5701402271336455e-05,1.0,1.0,1.5233800757075144e-05,1.0
35162003,262563,2016-01-01 00:00:00,2018-12-31 23:54:00,48.479,-1.13,153.0,3,0.9981865875912409,0.00040752124252085853,0.00040752124252085853,3.808609743183311e-05,7.6172194863888265e-06,1.9043048715916555e-05,1.5234438972777653e-05,1.0
37192001,262551,2016-01-01 00:00:00,2018-12-31 23:54:00,47.22,0.9,90.0,3,0.9981409671532847,0.01168153996747301,0.011677731183655782,7.617567634454758e-06,1.5235135268909517e-05,1.9043919086247918e-05,1.5235135268909517e-05,1.0
86009001,261423,2016-01-01 00:00:00,2018-12-31 23:54:00,46.685,0.679,138.0,3,0.9938526459854015,0.0038405190055963434,0.0038405190055963434,0.00010328088959277171,0.010293661996075287,0.010301312432341447,1.530087253220902e-05,1.0
56069001,261422,2016-01-01 00:00:00,2018-12-31 23:54:00,47.65,-3.5,41.0,3,0.9938488442822384,0.002233935935001652,0.0001759607072090441,3.442709488876705e-05,1.1475698296292691e-05,2.295139659247436e-05,1.5300931061612566e-05,1.0
61426001,261351,2016-01-01 00:00:00,2018-12-31 23:54:00,48.37,0.55,168.0,3,0.9935789233576642,1.0,1.0,0.0,1.0,1.0,1.530508779379325e-05,1.0
95690001,192729,2016-10-18 16:06:00,2018-12-31 23:54:00,49.108,1.831,130.0,3,0.7326984489051095,0.006439093234541726,0.006439093234541726,6.745222566406639e-05,1.0377265486805065e-05,2.0754530973499108e-05,1.5565898230152087e-05,1.0
22092001,262879,2016-01-01 00:00:00,2018-12-31 23:54:00,48.4,-3.15,281.0,3,0.9993879257907543,4.5648378151130764e-05,4.5648378151130764e-05,5.706047268894121e-05,2.2824189075620893e-05,3.0432252100753843e-05,1.9020157562943396e-05,1.0
72361001,262878,2016-01-01 00:00:00,2018-12-31 23:54:00,47.89,0.56,154.0,3,0.9993841240875913,1.0,1.0,0.0,1.0,1.0,1.9020229916510978e-05,1.0
56243001,262678,2016-01-01 00:00:00,2018-12-31 23:54:00,47.6,-2.71,3.0,3,0.9986237834549878,0.0007956509490707475,0.0007956509490707475,4.187636574060072e-05,6.091107744077284e-05,6.852496212095271e-05,1.9034711700283147e-05,1.0
29178001,262515,2016-01-01 00:00:00,2018-12-31 23:54:00,48.55,-4.66,40.0,3,0.998004105839416,7.23768165629135e-05,6.856751042794151e-05,7.618612269721936e-06,0.6975982324819534,0.6976020417880884,1.9046530674415862e-05,0.7197150639011104
41281001,262444,2016-01-01 00:00:00,2018-12-31 23:54:00,47.68,1.21,130.0,3,0.9977341849148419,0.0019051683406745568,0.0012421697581198599,0.0010287909039642384,0.001969944064257545,0.001973754400938832,1.9051683406767772e-05,0.00026672356769441574
14624001,262390,2016-01-01 00:00:00,2018-12-31 23:54:00,48.99,-0.01,52.0,3,0.9975288929440389,1.0,1.0,0.0,1.0,1.0,1.905560425319308e-05,1.0
56240003,261857,2016-01-01 00:00:00,2018-12-31 23:54:00,47.51,-2.8,37.0,3,0.9955025851581508,4.20076606697517e-05,4.20076606697517e-05,0.0,1.0,1.0,1.9094391213503314e-05,1.0
62826001,261829,2016-01-01 00:00:00,2018-12-31 23:54:00,50.51,1.62,20.0,3,0.9953961374695863,0.0013864010480122424,0.0013864010480122424,0.002196089814344493,0.004220311730175008,0.004220311730175008,1.909643316821974e-05,0.004220311730175008
14659001,261635,2016-01-01 00:00:00,2018-12-31 23:54:00,49.06,-0.23,62.0,3,0.9946586070559611,1.0,1.0,0.0,1.0,1.0,1.9110593001747667e-05,1.0
41053001,261420,2016-01-01 00:00:00,2018-12-31 23:54:00,47.969,0.913,163.0,3,0.9938412408759124,0.005753194093795377,0.005753194093795377,8.033050263944741e-05,1.9126310152217663e-05,1.9126310152217663e-05,1.9126310152217663e-05,1.0
91200002,259651,2016-01-01 00:00:00,2018-12-31 23:54:00,48.527,1.995,116.0,3,0.9871160279805353,0.006058131877019535,0.006058131877019535,0.0002888492630492845,0.03429988715622123,0.03429988715622123,1.9256617536655973e-05,1.0
61179001,259617,2016-01-01 00:00:00,2018-12-31 23:54:00,48.72,-0.26,229.0,3,0.9869867700729927,1.0,1.0,0.0,1.0,1.0,1.9259139424576688e-05,1.0
29236001,204379,2016-01-01 00:00:00,2018-05-14 08:00:00,47.88,-3.71,77.0,3,0.7769882907542579,1.0,1.0,4.89287059823873e-06,1.0,1.0,1.957148239295492e-05,1.0
49138001,262827,2016-01-01 00:00:00,2018-12-31 23:54:00,47.49,-0.17,41.0,3,0.9991902372262774,4.9462193762450646e-05,4.9462193762450646e-05,2.28287048134046e-05,1.14143524067023e-05,3.0438273084576473e-05,2.28287048134046e-05,1.0
44110002,262787,2016-01-01 00:00:00,2018-12-31 23:54:00,47.42,-1.51,13.0,3,0.9990381690997567,9.132871869610426e-05,9.132871869610426e-05,0.0,0.000586025944966817,0.0005898313082458584,2.2832179674026065e-05,1.0
44069002,262779,2016-01-01 00:00:00,2018-12-31 23:54:00,47.29,-2.43,4.0,3,0.9990077554744525,5.327670780386207e-05,4.1860270417304335e-05,0.0,3.4249312159673195e-05,4.94712286750465e-05,2.2832874773115464e-05,1.0
22147006,262748,2016-01-01 00:00:00,2018-12-31 23:54:00,48.18,-2.41,131.0,3,0.998889902676399,1.0,1.0,0.0,1.0,1.0,2.283556868176717e-05,1.0
22261002,262624,2016-01-01 00:00:00,2018-12-31 23:54:00,48.52,-2.42,71.0,3,0.9984184914841849,0.00025511758255147843,0.00025511758255147843,3.807725112703331e-05,6.853905202874877e-05,8.37699524796065e-05,2.2846350676286598e-05,1.0
86137003,262623,2016-01-01 00:00:00,2018-12-31 23:54:00,47.03,0.1,96.0,3,0.9984146897810219,0.007779212026364779,0.00511379429829073,0.00020942567863435624,4.569287533839894e-05,4.569287533839894e-05,2.2846437669254982e-05,1.0
35057003,262514,2016-01-01 00:00:00,2018-12-31 23:54:00,47.922,-1.941,42.0,3,0.9980003041362531,0.0011732707588928415,0.0011732707588928415,5.333048904054838e-05,2.2855923874520734e-05,3.0474565166027645e-05,2.2855923874520734e-05,1.0
44181001,262509,2016-01-01 00:00:00,2018-12-31 23:54:00,47.01,-1.78,4.0,3,0.9979812956204379,0.00011428179605266209,0.00011428179605266209,3.809393201770206e-06,1.9046966008740007e-05,3.428453881582083e-05,2.2856359210510213e-05,1.0
78354001,262405,2016-01-01 00:00:00,2018-12-31 23:54:00,48.96,1.67,123.0,3,0.9975859184914841,0.00011813799279736248,0.00011432708980396722,3.810902993461873e-05,1.5243611973803084e-05,3.429812694122347e-05,2.2865417960815648e-05,1.0
27422001,262163,2016-01-01 00:00:00,2018-12-31 23:54:00,49.22,1.28,31.0,3,0.996665906326034,0.0013770059085378428,0.0013770059085378428,4.9587470390521915e-05,2.6700945594870795e-05,2.6700945594870795e-05,2.288652479565112e-05,1.0
72175002,262115,2016-01-01 00:00:00,2018-12-31 23:54:00,47.71,0.09,92.0,3,0.9964834245742092,5.7226789767828024e-05,5.7226789767828024e-05,1.5260477271406003e-05,2.2890715907109005e-05,3.433607386071902e-05,2.2890715907109005e-05,1.0
61006005,260829,2016-01-01 00:00:00,2018-12-31 23:54:00,48.72,0.01,170.0,3,0.9915944343065694,0.0007821216199118686,0.0007821216199118686,0.0,5.3675013131249116e-05,6.517680165929463e-05,2.300357705620204e-05,1.0
61485002,260419,2016-01-01 00:00:00,2018-12-31 23:54:00,48.91,0.25,225.0,3,0.9900357360097324,1.0,1.0,7.679931187776212e-06,1.0,1.0,2.303979356343966e-05,1.0
78562001,258869,2016-01-01 00:00:00,2018-12-31 23:54:00,48.707,1.746,176.0,3,0.984143096107056,1.0,1.0,8.884802738062803e-05,1.0,1.0,2.3177746273250754e-05,1.0
61169003,258844,2016-01-01 00:00:00,2018-12-31 23:54:00,48.75,-0.59,195.0,3,0.9840480535279805,0.013050331473783428,0.013050331473783428,8.88566086136855e-05,1.1589992427896156e-05,2.3179984855792313e-05,2.3179984855792313e-05,1.0
53083001,253285,2016-01-01 00:00:00,2018-12-31 23:54:00,48.32,-0.22,172.0,3,0.9629143856447688,1.0,1.0,0.0,1.0,1.0,2.3688730086623977e-05,1.0
72255001,262820,2016-01-01 00:00:00,2018-12-31 23:54:00,48.14,-0.23,206.0,3,0.9991636253041363,0.008937675975953074,0.003626055855718735,1.5219541891764443e-05,2.2829312837702176e-05,2.663419831061553e-05,2.663419831061553e-05,1.0
85182004,262755,2016-01-01 00:00:00,2018-12-31 23:54:00,46.77,-0.83,153.0,3,0.9989165145985401,0.0023710300470020096,0.001004738254267279,7.611653441430555e-06,0.004152156952293984,0.004220661833266748,2.664078704495143e-05,1.0
50615001,262302,2016-01-01 00:00:00,2018-12-31 23:54:00,49.52,-1.51,61.0,3,0.9971943430656934,1.0,1.0,0.0,1.0,1.0,2.66867961357109e-05,1.0
72264001,262131,2016-01-01 00:00:00,2018-12-31 23:54:00,47.84,-0.3,44.0,3,0.9965442518248175,1.0,1.0,0.0,1.0,1.0,2.6704205149385984e-05,1.0
14216001,262835,2016-01-01 00:00:00,2018-12-31 23:54:00,48.93,-0.15,155.0,3,0.9992206508515815,0.0034089828219224794,5.707002492061353e-05,2.663267829627891e-05,0.00010272604485705994,0.00011414004984111603,3.0437346624334616e-05,1.0
14366002,262778,2016-01-01 00:00:00,2018-12-31 23:54:00,49.17,0.23,62.0,3,0.9990039537712896,1.0,1.0,0.0,1.0,1.0,3.0443948884628647e-05,1.0
29277001,261902,2016-01-01 00:00:00,2018-12-31 23:54:00,48.39,-4.02,157.0,3,0.9956736618004867,1.0,1.0,1.1454666249188783e-05,1.0,1.0,3.054577666450342e-05,1.0
44103001,261381,2016-01-01 00:00:00,2018-12-31 23:54:00,47.31,-2.15,4.0,3,0.9936929744525548,0.0020544722072377564,0.0020544722072377564,0.001966478053110232,6.121332461039852e-05,6.121332461039852e-05,3.060666230525477e-05,6.121332461039852e-05
22219003,260828,2016-01-01 00:00:00,2018-12-31 23:54:00,48.27,-2.75,235.0,3,0.9915906326034063,0.004048645084116731,0.0030211480362537513,1.1501832625326891e-05,0.0008396337816491961,0.0012805373656202823,3.0671553667538376e-05,1.0
14372001,260184,2016-01-01 00:00:00,2018-12-31 23:54:00,49.102,-0.765,184.0,3,0.9891423357664234,0.002759585524090613,0.002759585524090613,8.839897918400119e-05,1.537373551030452e-05,3.074747102049802e-05,3.074747102049802e-05,1.0
35005001,262822,2016-01-01 00:00:00,2018-12-31 23:54:00,47.93,-1.3,75.0,3,0.9991712287104623,0.004748460935538157,0.004816948352877604,1.1414569556555954e-05,3.424370866977888e-05,4.946313474518682e-05,3.424370866977888e-05,1.0
27347001,262705,2016-01-01 00:00:00,2018-12-31 23:54:00,49.03,1.22,138.0,3,0.9987264294403893,0.00866371024533219,0.008652290592109035,0.00014084238975275998,3.0452408595227354e-05,3.425895966957526e-05,3.425895966957526e-05,3.425895966957526e-05
14296001,262068,2016-01-01 00:00:00,2018-12-31 23:54:00,48.8,-1.03,339.0,3,0.9963047445255474,1.0,1.0,7.631607063851575e-06,1.0,1.0,3.434223178722107e-05,1.0
29151004,261073,2016-01-01 00:00:00,2018-12-31 23:54:00,48.6,-3.81,90.0,3,0.9925220498783455,0.0001685352372707838,0.0001685352372707838,9.95890038418823e-05,3.447311671445075e-05,3.447311671445075e-05,3.447311671445075e-05,3.447311671445075e-05
56165003,257021,2016-01-01 00:00:00,2018-12-31 23:54:00,47.95,-2.4,65.0,3,0.9771175486618005,5.44702572941036e-05,5.0579524630278705e-05,1.1672197991585698e-05,2.3344395983171395e-05,4.27980593025179e-05,3.501659397475709e-05,1.0
79309001,256889,2016-01-01 00:00:00,2018-12-31 23:54:00,46.62,-0.57,247.0,3,0.9766157238442822,0.0028261233451023493,0.0028261233451023493,0.007688145463604856,0.0008641864774280306,0.0008875428687098452,3.50345869227775e-05,1.0
27100001,253590,2016-01-01 00:00:00,2018-12-31 23:54:00,49.36,0.39,122.0,3,0.9640739051094891,7.492409006659706e-05,7.492409006659706e-05,0.006277850072952451,0.00043771442091566914,0.000445601167238463,3.5490358452627824e-05,1.0
49248003,262829,2016-01-01 00:00:00,2018-12-31 23:54:00,47.74,-1.19,96.0,3,0.9991978406326034,1.0,1.0,0.0,1.0,1.0,3.804755183023367e-05,1.0
56004001,262766,2016-01-01 00:00:00,2018-12-31 23:54:00,47.51,-2.38,26.0,3,0.9989583333333333,1.0,1.0,3.8056673998809742e-06,1.0,1.0,3.8056673998920765e-05,1.0
35202001,262053,2016-01-01 00:00:00,2018-12-31 23:54:00,47.78,-1.765,89.0,3,0.9962477189781022,0.002289613169854987,0.002289613169854987,0.00012974474629179333,0.0020530198089699914,0.002068283896768941,3.816021949754056e-05,1.0
61214002,259239,2016-01-01 00:00:00,2018-12-31 23:54:00,48.76,0.66,232.0,3,0.9855497262773723,0.0022450325761169676,0.0021948858003618676,0.002734928000802328,1.9287221444286295e-05,4.2431887177452055e-05,3.857444288857259e-05,1.0
37242002,262634,2016-01-01 00:00:00,2018-12-31 23:54:00,47.23,0.15,33.0,3,0.9984565085158151,0.003975113656266904,0.003971306076136383,4.1883381435736666e-05,0.004218798784620392,0.004226413944881435,4.1883381435736666e-05,1.0
14762004,262451,2016-01-01 00:00:00,2018-12-31 23:54:00,48.85,-0.9,100.0,3,0.9977607968369829,6.477399590776312e-05,6.477399590776312e-05,7.620470106828314e-06,0.00019432198772340037,0.00019432198772340037,4.1912585587389195e-05,1.0
29155005,257141,2016-01-01 00:00:00,2018-12-31 23:54:00,48.47,-5.06,68.0,3,0.9775737530413625,0.0009566735759758416,0.000960562492951289,0.00012055642624086982,4.277808673058825e-05,4.277808673058825e-05,4.277808673058825e-05,4.277808673058825e-05
56151001,183332,2016-11-25 14:00:00,2018-12-31 23:54:00,48.056,-2.917,125.0,3,0.6969738442822384,4.363668099405249e-05,4.363668099405249e-05,0.00010909170248507571,3.272751074556712e-05,4.9091266118295174e-05,4.363668099405249e-05,1.0
85104001,262701,2016-01-01 00:00:00,2018-12-31 23:54:00,46.35,-1.33,2.0,3,0.9987112226277373,0.0001370379252457754,0.0001370379252457754,3.8066090346511317e-06,1.0,1.0,4.567930841525847e-05,1.0
22372001,262195,2016-01-01 00:00:00,2018-12-31 23:54:00,48.53,-2.85,135.0,3,0.9967875608272506,0.0003737676157058445,0.0003737676157058445,0.00020976753942680837,5.339537367221592e-05,5.339537367221592e-05,4.5767463147661225e-05,0.0006636282156410322
